#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-02-23T02:33:17 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c70b0b610081	
#INFO	-out.max=1000	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/ApJ/757/18&tab:{J/ApJ/757/18/table2}&key:source=J/ApJ/757/18/table2&HTTPPRM:&&-ref=VIZ5c70b0b610081&-out.src=J/ApJ/757/18/table2&-out=Name&-out=BJD&-out=RVel&-out=f_RVel&-out=e_RVel&-out=Inst&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-order=I&-oc.form=sexa&-out.max=1000&-out.form=HTML Table&undefined=CDS, France&
#-source=J/ApJ/757/18/table2
#-order=I
#-out=Name
#-out=BJD
#-out=RVel
#-out=f_RVel
#-out=e_RVel
#-out=Inst
#

#RESOURCE=yCat_17570018
#Name: J/ApJ/757/18
#Title: Radial velocities for 16 hot Jupiter host stars (Albrecht+, 2012)
#Table	J_ApJ_757_18_table2:
#Name: J/ApJ/757/18/table2
#Title: Relative radial velocity measurements
#Column	Name	(A9)	System name	[ucd=meta.id;pos.frame]
#Column	BJD	(F13.5)	Barycentric Julian Date	[ucd=time.epoch]
#Column	RVel	(F8.2)	[-1660.3/1209.9] Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	f_RVel	(A1)	[*] Flag on RVel (1)	[ucd=meta.code]
#Column	e_RVel	(F6.2)	[-40.9/23.1] Internally estimated uncertainty in RVel (2)	[ucd=stat.error;spect.dopplerVeloc]
#Column	Inst	(A5)	Spectrograph used in observation (3)	[ucd=meta.id;instr]
# ;d;m/s; ;m/s;
name;bjd;rv;f_RVel;e_rv;inst
WASP-26;2455426.81560;3.98;;5.08;PFS
WASP-26;2455426.82006;12.88;;5.30;PFS
WASP-26;2455426.82440;11.76;;4.93;PFS
WASP-26;2455426.82887;18.24;;4.52;PFS
WASP-26;2455426.83321;26.32;;4.63;PFS
WASP-26;2455426.83770;0.25;;4.45;PFS
WASP-26;2455426.84203;-4.64;;4.49;PFS
WASP-26;2455426.84751;-9.74;;4.36;PFS
WASP-26;2455426.85193;-10.86;;4.19;PFS
WASP-26;2455426.85641;0.00;;4.76;PFS
WASP-26;2455426.86076;4.96;;4.87;PFS
WASP-26;2455426.86519;-1.66;;4.73;PFS
WASP-26;2455426.86956;-8.55;;5.34;PFS
WASP-26;2455426.87397;-25.50;;5.19;PFS
WASP-26;2455426.87838;-14.41;;4.44;PFS
WASP-26;2455426.88276;-14.62;;4.96;PFS
WASP-26;2455426.88718;-40.94;;5.15;PFS
WASP-26;2455426.89170;-35.98;;5.21;PFS
WASP-26;2455426.89612;-34.09;;5.91;PFS
WASP-26;2455426.90053;-42.60;;5.60;PFS
WASP-26;2455426.90494;-25.94;;5.30;PFS
WASP-26;2455426.90934;-33.91;;5.31;PFS
WASP-26;2455426.91374;-12.36;;6.09;PFS
WASP-26;2455426.91811;-51.08;;6.29;PFS
WASP-26;2455426.92249;-51.14;;7.44;PFS
WASP-26;2455426.92871;-46.71;;4.16;PFS
WASP-26;2455426.93681;-44.78;;4.78;PFS
WASP-31;2455999.82714;11.27;;4.72;HIRES
WASP-31;2455999.83505;22.52;;5.04;HIRES
WASP-31;2455999.84308;40.82;;4.92;HIRES
WASP-31;2455999.85133;69.76;;4.30;HIRES
WASP-31;2455999.85919;72.56;;4.67;HIRES
WASP-31;2455999.86738;52.04;;4.82;HIRES
WASP-31;2455999.87554;26.69;;4.65;HIRES
WASP-31;2455999.88389;7.30;;4.70;HIRES
WASP-31;2455999.89251;-19.15;;4.65;HIRES
WASP-31;2455999.90136;-32.86;;4.78;HIRES
WASP-31;2455999.90963;-35.91;;4.56;HIRES
WASP-31;2455999.91796;-43.99;;4.75;HIRES
WASP-31;2455999.92735;-34.21;;4.90;HIRES
WASP-31;2455999.93662;-15.15;;5.15;HIRES
WASP-31;2455999.94558;-10.24;;4.93;HIRES
WASP-31;2455999.95347;2.15;;4.15;HIRES
WASP-31;2455999.96120;1.79;;4.69;HIRES
WASP-31;2455999.96880;-10.38;;4.29;HIRES
WASP-31;2455999.97591;-23.92;;4.47;HIRES
WASP-31;2455999.98354;-1.45;;4.63;HIRES
WASP-31;2455999.99143;-13.51;;4.74;HIRES
WASP-31;2455999.99944;-15.74;;4.66;HIRES
WASP-31;2456000.00703;-15.04;;4.41;HIRES
WASP-31;2456000.01426;-4.70;;4.93;HIRES
WASP-31;2456000.05445;-5.24;;4.60;HIRES
WASP-31;2456000.06327;-11.37;;4.66;HIRES
WASP-31;2456000.07256;-17.13;;4.58;HIRES
Gl436;2455311.76725;3.21;;1.62;HIRES
Gl436;2455311.77342;4.54;;1.56;HIRES
Gl436;2455311.77988;2.36;;1.61;HIRES
Gl436;2455311.83313;1.93;;1.68;HIRES
Gl436;2455311.83786;2.20;;1.69;HIRES
Gl436;2455311.84233;4.63;;1.74;HIRES
Gl436;2455311.84690;-0.12;;1.75;HIRES
Gl436;2455311.85181;-0.41;;1.63;HIRES
Gl436;2455311.85662;0.57;;1.72;HIRES
Gl436;2455311.86168;0.38;;1.80;HIRES
Gl436;2455311.86726;-4.60;;1.70;HIRES
Gl436;2455311.87306;-2.07;;1.54;HIRES
Gl436;2455311.87859;2.48;;1.66;HIRES
Gl436;2455311.88411;1.11;;1.71;HIRES
Gl436;2455311.88932;-2.96;;1.78;HIRES
Gl436;2455311.89430;-1.68;;1.66;HIRES
Gl436;2455311.89910;2.33;;1.68;HIRES
Gl436;2455311.90394;-3.54;;1.55;HIRES
Gl436;2455311.90858;-0.88;;1.60;HIRES
Gl436;2455311.91310;0.10;;1.61;HIRES
Gl436;2455311.91759;0.60;;1.59;HIRES
Gl436;2455311.92222;0.36;;1.67;HIRES
Gl436;2455311.92672;-5.22;;1.67;HIRES
Gl436;2455311.93132;1.59;;1.61;HIRES
Gl436;2455311.93614;-5.81;;1.69;HIRES
Gl436;2455311.94215;-5.04;;1.81;HIRES
Gl436;2455311.94819;-3.82;;1.74;HIRES
Gl436;2455311.95308;-1.99;;1.82;HIRES
Gl436;2455311.95822;-6.29;;1.66;HIRES
Gl436;2455311.96306;-0.37;;1.75;HIRES
Gl436;2455311.96797;-4.99;;1.75;HIRES
Gl436;2455311.97291;-6.59;;1.79;HIRES
Gl436;2455311.97800;-3.73;;1.75;HIRES
Gl436;2455311.98297;-5.85;;1.71;HIRES
Gl436;2455311.98782;-5.44;;1.85;HIRES
Gl436;2455311.99298;-5.73;;1.77;HIRES
Kepler-8;2455133.71864;70.10;;12.23;HIRES
Kepler-8;2455133.73310;46.84;;12.71;HIRES
Kepler-8;2455133.74781;57.74;;11.96;HIRES
Kepler-8;2455133.76192;20.64;;11.78;HIRES
Kepler-8;2455133.77640;9.79;;13.61;HIRES
Kepler-8;2455133.79078;-33.12;;13.69;HIRES
Kepler-8;2455133.80528;-36.45;;13.59;HIRES
Kepler-8;2455133.82196;-10.20;;12.78;HIRES
Kepler-8;2455133.83951;27.62;;12.15;HIRES
Kepler-8;2455781.80096;40.59;;10.58;HIRES
Kepler-8;2455781.81905;10.81;;10.92;HIRES
Kepler-8;2455781.83569;26.58;;12.36;HIRES
Kepler-8;2455781.85533;29.74;;13.22;HIRES
Kepler-8;2455781.87265;33.15;;11.47;HIRES
Kepler-8;2455781.89040;20.55;;13.14;HIRES
Kepler-8;2455781.90971;1.41;;11.99;HIRES
Kepler-8;2455781.92772;-32.77;;12.32;HIRES
Kepler-8;2455781.94575;-31.29;;13.09;HIRES
Kepler-8;2455781.96303;-59.70;;12.98;HIRES
Kepler-8;2455781.98149;-15.10;;12.46;HIRES
Kepler-8;2455781.99954;-3.51;;12.27;HIRES
Kepler-8;2455782.01725;-17.78;;12.38;HIRES
Kepler-8;2455782.03500;8.71;;13.24;HIRES
HAT-P-2;2454257.75643;107.29;;11.47;HIRES
HAT-P-2;2454257.75868;113.38;;11.27;HIRES
HAT-P-2;2454257.76070;102.73;;11.29;HIRES
HAT-P-2;2454257.79412;73.36;;11.12;HIRES
HAT-P-2;2454257.79678;72.43;;10.98;HIRES
HAT-P-2;2454257.79945;65.04;;11.10;HIRES
HAT-P-2;2454257.80215;60.65;;10.90;HIRES
HAT-P-2;2454257.80493;70.29;;11.19;HIRES
HAT-P-2;2454257.80763;42.94;;11.01;HIRES
HAT-P-2;2454257.81034;62.73;;11.04;HIRES
HAT-P-2;2454257.81314;45.57;;11.02;HIRES
HAT-P-2;2454257.81582;43.13;;11.07;HIRES
HAT-P-2;2454257.81849;51.64;;11.14;HIRES
HAT-P-2;2454257.82778;31.81;;11.00;HIRES
HAT-P-2;2454257.83047;26.65;;11.00;HIRES
HAT-P-2;2454257.83318;33.59;;11.08;HIRES
HAT-P-2;2454257.83590;28.35;;11.02;HIRES
HAT-P-2;2454257.83861;23.85;;10.87;HIRES
HAT-P-2;2454257.84133;22.03;;10.99;HIRES
HAT-P-2;2454257.84402;60.74;;11.08;HIRES
HAT-P-2;2454257.84672;61.14;;10.87;HIRES
HAT-P-2;2454257.84954;62.45;;11.09;HIRES
HAT-P-2;2454257.85238;73.14;;10.88;HIRES
HAT-P-2;2454257.85517;55.80;;11.00;HIRES
HAT-P-2;2454257.85785;68.76;;11.00;HIRES
HAT-P-2;2454257.86054;96.24;;11.12;HIRES
HAT-P-2;2454257.86325;62.70;;10.91;HIRES
HAT-P-2;2454257.86611;65.91;;11.09;HIRES
HAT-P-2;2454257.86885;77.82;;11.10;HIRES
HAT-P-2;2454257.87158;79.49;;10.91;HIRES
HAT-P-2;2454257.87444;59.31;;10.93;HIRES
HAT-P-2;2454257.87720;58.55;;11.05;HIRES
HAT-P-2;2454257.87994;52.44;;10.85;HIRES
HAT-P-2;2454257.88278;46.29;;11.00;HIRES
HAT-P-2;2454257.88546;38.89;;11.02;HIRES
HAT-P-2;2454257.88818;33.10;;10.83;HIRES
HAT-P-2;2454257.89089;45.60;;10.89;HIRES
HAT-P-2;2454257.89357;28.26;;10.99;HIRES
HAT-P-2;2454257.89623;15.79;;10.96;HIRES
HAT-P-2;2454257.89888;-0.94;;10.87;HIRES
HAT-P-2;2454257.90159;3.04;;10.94;HIRES
HAT-P-2;2454257.90430;-14.83;;10.98;HIRES
HAT-P-2;2454257.90698;-19.89;;11.08;HIRES
HAT-P-2;2454257.90970;-21.44;;10.66;HIRES
HAT-P-2;2454257.91264;-43.31;;10.91;HIRES
HAT-P-2;2454257.91554;-63.42;;10.91;HIRES
HAT-P-2;2454257.91843;-63.81;;10.82;HIRES
HAT-P-2;2454257.92136;-79.61;;10.94;HIRES
HAT-P-2;2454257.92431;-86.90;;11.10;HIRES
HAT-P-2;2454257.92730;-104.22;;10.90;HIRES
HAT-P-2;2454257.93032;-131.20;;11.20;HIRES
HAT-P-2;2454257.93322;-132.88;;11.19;HIRES
HAT-P-2;2454257.93616;-132.14;;11.02;HIRES
HAT-P-2;2454257.93910;-151.54;;10.94;HIRES
HAT-P-2;2454257.94201;-159.50;;11.04;HIRES
HAT-P-2;2454257.94503;-175.72;;10.95;HIRES
HAT-P-2;2454257.94792;-171.76;;10.80;HIRES
HAT-P-2;2454257.95083;-195.78;;10.77;HIRES
HAT-P-2;2454257.95374;-195.91;;10.76;HIRES
HAT-P-2;2454257.95667;-208.61;;10.97;HIRES
HAT-P-2;2454257.95966;-214.42;;10.91;HIRES
HAT-P-2;2454257.96256;-216.88;;10.93;HIRES
HAT-P-2;2454257.96540;-219.72;;10.87;HIRES
HAT-P-2;2454257.96835;-232.15;;10.79;HIRES
HAT-P-2;2454257.97135;-237.61;;10.96;HIRES
HAT-P-2;2454257.97431;-232.54;;11.09;HIRES
HAT-P-2;2454257.97718;-241.21;;10.90;HIRES
HAT-P-2;2454257.98007;-228.98;;10.94;HIRES
HAT-P-2;2454257.98309;-239.97;;10.85;HIRES
HAT-P-2;2454257.98607;-241.62;;10.87;HIRES
HAT-P-2;2454257.98895;-248.00;;10.84;HIRES
HAT-P-2;2454257.99187;-239.55;;10.86;HIRES
HAT-P-2;2454257.99474;-256.21;;10.82;HIRES
HAT-P-2;2454257.99779;-243.83;;10.77;HIRES
HAT-P-2;2454258.00072;-231.95;;10.89;HIRES
HAT-P-2;2454258.00359;-220.43;;10.80;HIRES
HAT-P-2;2454258.00645;-233.97;;10.78;HIRES
HAT-P-2;2454258.00933;-227.24;;10.87;HIRES
HAT-P-2;2454258.01217;-201.28;;10.75;HIRES
HAT-P-2;2454258.01501;-214.28;;11.01;HIRES
HAT-P-2;2454258.01794;-223.55;;10.93;HIRES
HAT-P-2;2454258.02106;-221.94;;10.87;HIRES
HAT-P-2;2454258.02415;-237.96;;10.93;HIRES
HAT-P-2;2454258.02717;-225.07;;10.84;HIRES
HAT-P-2;2454258.03029;-233.98;;10.74;HIRES
HAT-P-2;2454258.03328;-233.75;;10.84;HIRES
HAT-P-2;2454258.04263;-228.67;;10.90;HIRES
HAT-P-2;2454258.04549;-250.43;;10.90;HIRES
HAT-P-2;2454258.04839;-256.58;;10.88;HIRES
HAT-P-2;2454258.05148;-268.52;;11.00;HIRES
HAT-P-2;2454258.05483;-266.61;;10.82;HIRES
HAT-P-2;2454258.05816;-285.12;;10.86;HIRES
HAT-P-2;2454258.06147;-278.41;;10.80;HIRES
HAT-P-2;2454258.06467;-297.41;;10.85;HIRES
HAT-P-2;2454258.09911;-350.56;;11.02;HIRES
HAT-P-2;2454258.10284;-352.35;;11.08;HIRES
HAT-P-2;2454258.10668;-361.36;;10.89;HIRES
HD209458;2451341.12161;22.30;*;3.80;HIRES
HD209458;2451368.94481;-29.70;*;4.10;HIRES
HD209458;2451372.13801;-71.40;*;4.50;HIRES
HD209458;2451373.06001;49.20;*;4.00;HIRES
HD209458;2451374.05911;47.60;*;3.70;HIRES
HD209458;2451410.01771;-53.20;*;3.60;HIRES
HD209458;2451410.96871;-65.20;*;4.00;HIRES
HD209458;2451411.93871;63.80;*;4.30;HIRES
HD209458;2451438.81361;-80.10;*;3.70;HIRES
HD209458;2451543.68731;-14.40;*;3.70;HIRES
HD209458;2451543.69131;-12.40;*;3.80;HIRES
HD209458;2451550.68881;-31.80;*;3.30;HIRES
HD209458;2451550.69281;-32.30;*;3.80;HIRES
HD209458;2451551.69371;-85.30;*;4.00;HIRES
HD209458;2451551.69871;-79.00;*;3.00;HIRES
HD209458;2451552.70061;40.30;*;3.90;HIRES
HD209458;2451679.10632;-31.50;*;3.80;HIRES
HD209458;2451703.12232;-78.70;*;3.70;HIRES
HD209458;2451704.09942;10.00;*;3.30;HIRES
HD209458;2451705.10652;77.20;*;4.30;HIRES
HD209458;2451706.10362;-42.10;*;3.60;HIRES
HD209458;2451707.10962;-52.70;*;3.70;HIRES
HD209458;2451754.98002;28.20;*;3.00;HIRES
HD209458;2451755.02402;21.00;;3.20;HIRES
HD209458;2451755.03002;16.30;;3.40;HIRES
HD209458;2451755.04602;24.40;;3.20;HIRES
HD209458;2451755.05802;44.60;;3.00;HIRES
HD209458;2451755.07302;48.00;;3.10;HIRES
HD209458;2451755.07902;46.80;;2.80;HIRES
HD209458;2451755.08402;41.50;;2.80;HIRES
HD209458;2451755.09002;32.20;;3.20;HIRES
HD209458;2451755.09502;29.50;;2.90;HIRES
HD209458;2451755.10102;11.10;;3.30;HIRES
HD209458;2451755.10602;2.30;;2.70;HIRES
HD209458;2451755.11202;-9.50;;3.20;HIRES
HD209458;2451755.11802;-12.50;;2.90;HIRES
HD209458;2451755.12302;-24.20;;3.20;HIRES
HD209458;2451755.12902;-33.50;;3.00;HIRES
HD209458;2451755.13402;-38.50;;3.30;HIRES
HD209458;2451755.97702;-80.70;*;3.60;HIRES
HD209458;2451792.79682;78.20;*;4.00;HIRES
HD209458;2451882.70753;-77.90;*;3.90;HIRES
HD209458;2451883.72043;3.90;*;4.10;HIRES
HD209458;2451899.73013;-17.30;*;3.40;HIRES
HD209458;2451900.72003;-76.60;*;3.50;HIRES
HD209458;2452063.11294;-55.60;*;3.80;HIRES
HD209458;2452102.00794;-49.60;*;4.10;HIRES
HD209458;2452446.13045;-39.80;*;3.70;HIRES
HD209458;2452514.97085;33.80;*;3.60;HIRES
HD209458;2452535.85065;-3.50;*;4.20;HIRES
HD209458;2452575.73366;91.90;*;4.10;HIRES
HD209458;2452806.97506;-31.80;*;3.80;HIRES
HD209458;2452836.00826;71.40;*;3.40;HIRES
HD209458;2452848.97296;-67.70;*;3.90;HIRES
HD209458;2452849.99096;67.70;*;3.30;HIRES
HD209458;2452850.95306;53.80;*;3.40;HIRES
HD209458;2452853.95916;81.60;*;3.60;HIRES
HD209458;2452855.00326;-21.10;*;3.80;HIRES
HD209458;2452856.01126;-73.20;*;4.20;HIRES
HD209458;2452897.82176;-81.00;*;3.70;HIRES
HD209458;2452898.81176;-16.40;*;3.60;HIRES
HD209458;2452924.76976;75.30;*;3.60;HIRES
HD209458;2452987.70276;78.20;*;3.80;HIRES
HD209458;2452988.71166;16.90;*;3.80;HIRES
HD209458;2453154.08446;46.40;*;4.20;HIRES
HD209458;2453180.09366;-86.90;*;3.90;HIRES
HD209458;2453182.03786;69.70;*;3.60;HIRES
HD209458;2453195.90486;82.20;*;4.90;HIRES
HD209458;2453196.93096;-34.20;*;3.70;HIRES
HD209458;2453238.95276;14.80;*;3.60;HIRES
HD209458;2453239.91376;-75.30;*;3.70;HIRES
HD209458;2453240.89476;20.40;*;4.10;HIRES
HD209458;2453301.70106;85.40;*;3.50;HIRES
HD209458;2453302.84896;-50.90;*;3.90;HIRES
HD209458;2453302.85096;-51.20;*;4.20;HIRES
HD209458;2453338.75406;-78.50;*;3.00;HIRES
HD209458;2453339.75396;41.30;*;3.20;HIRES
HD209458;2453367.69456;5.00;*;3.10;HIRES
HD209458;2453367.69756;11.70;*;3.10;HIRES
HD209458;2453368.70046;85.30;*;3.30;HIRES
HD209458;2453368.70446;82.90;*;2.80;HIRES
HD209458;2453369.68836;-35.70;*;3.10;HIRES
HD209458;2453369.69536;-28.80;*;3.10;HIRES
HD209458;2453370.69536;-61.90;*;3.20;HIRES
HD209458;2453370.69936;-60.30;*;2.80;HIRES
